Run 1: Time (min),Run 1: Potential (mV)
0,2.065143127
0.008333333,2.07375
0.016666667,2.076281433
0.025,2.082863159
0.033333333,2.087419739
0.041666667,2.093495178
0.05,2.097039185
0.058333333,2.100076904
0.066666667,2.100076904
0.075,2.101089478
0.083333333,2.100076904
0.091666667,2.100076904
0.1,2.102102051
0.108333333,2.102102051
0.116666667,2.10817749
0.125,2.110202637
0.133333333,2.109190063
0.141666667,2.11121521
0.15,2.11273407
0.158333333,2.117796936
0.166666667,2.118809509
0.175,2.120328369
0.183333333,2.124378662
0.191666667,2.122353516
0.2,2.123366089
0.208333333,2.126910095
0.216666667,2.124378662
0.225,2.118809509
0.233333333,2.11577179
0.241666667,2.110202637
0.25,2.114759216
0.258333333,2.117796936
0.266666667,2.120328369
0.275,2.123366089
0.283333333,2.123366089
0.291666667,2.120328369
0.3,2.126403809
0.308333333,2.125391235
0.316666667,2.124378662
0.325,2.125897522
0.333333333,2.127922668
0.341666667,2.120328369
0.35,2.123366089
0.358333333,2.121340942
0.366666667,2.121340942
0.375,2.123366089
0.383333333,2.125391235
0.391666667,2.123366089
0.4,2.124378662
0.408333333,2.125391235
0.416666667,2.120328369
0.425,2.117796936
0.433333333,2.121340942
0.441666667,2.118809509
0.45,2.11577179
0.458333333,2.114759216
0.466666667,2.114759216
0.475,2.117796936
0.483333333,2.116784363
0.491666667,2.117796936
0.5,2.117796936
0.508333333,2.11577179
0.516666667,2.113746643
0.525,2.113746643
0.533333333,2.106152344
0.541666667,2.095014038
0.55,2.158806152
0.558333333,2.325374451
0.566666667,2.458527832
0.575,2.497005615
0.583333333,2.447895813
0.591666667,2.369421387
0.6,2.282340088
0.608333333,2.209434814
0.616666667,2.149692993
0.625,2.11273407
0.633333333,2.084888306
0.641666667,2.075775146
0.65,2.071724854
0.658333333,2.074762573
0.666666667,2.079319153
0.675,2.079319153
0.683333333,2.07830658
0.691666667,2.076281433
0.7,2.075775146
0.708333333,2.076281433
0.716666667,2.076281433
0.725,2.07830658
0.733333333,2.087419739
0.741666667,2.086913452
0.75,2.080331726
0.758333333,2.07375
0.766666667,2.066155701
0.775,2.066155701
0.783333333,2.069699707
0.791666667,2.075775146
0.8,2.083875732
0.808333333,2.071724854
0.816666667,2.054004822
0.825,2.041853943
0.833333333,2.042866516
0.841666667,2.056029968
0.85,2.058055115
0.858333333,2.000844727
0.866666667,1.748713989
0.875,2.693444824
0.883333333,5.077042236
0.891666667,6.673870239
0.9,7.165474548
0.908333333,7.219647217
0.916666667,7.125984192
0.925,6.96599762
0.933333333,6.784240723
0.941666667,6.572106628
0.95,6.334151917
0.958333333,6.097209778
0.966666667,5.842547607
0.975,5.576747131
0.983333333,5.305377502
0.991666667,5.029957581
1,4.753018799
1.008333333,4.477598877
1.016666667,4.209773254
1.025,3.942453918
1.033333333,3.680197449
1.041666667,3.433635864
1.05,3.209350891
1.058333333,2.987091064
1.066666667,2.785082703
1.075,2.630665283
1.083333333,2.486879883
1.091666667,2.374484253
1.1,2.285377808
1.108333333,2.22057312
1.116666667,2.175513611
1.125,2.145136414
1.133333333,2.131972961
1.141666667,2.123366089
1.15,2.124378662
1.158333333,2.11577179
1.166666667,2.118809509
1.175,2.123366089
1.183333333,2.124378662
1.191666667,2.125391235
1.2,2.121340942
1.208333333,2.120328369
1.216666667,2.123366089
1.225,2.123366089
1.233333333,2.119822083
1.241666667,2.120328369
1.25,2.126403809
1.258333333,2.143111267
1.266666667,2.165387878
1.275,2.219560547
1.283333333,2.304110413
1.291666667,2.419037476
1.3,2.564341736
1.308333333,2.769387817
1.316666667,2.968864746
1.325,3.171885681
1.333333333,3.361743164
1.341666667,3.526792603
1.35,3.656908264
1.358333333,3.740951843
1.366666667,3.787023926
1.375,3.801706238
1.383333333,3.778417053
1.391666667,3.732851257
1.4,3.66348999
1.408333333,3.567801819
1.416666667,3.473126221
1.425,3.367312317
1.433333333,3.248841248
1.441666667,3.144546204
1.45,3.03721344
1.458333333,2.930386963
1.466666667,2.831154785
1.475,2.743060913
1.483333333,2.655979614
1.491666667,2.582061768
1.5,2.514725647
1.508333333,2.457515259
1.516666667,2.40789917
1.525,2.367902527
1.533333333,2.331956177
1.541666667,2.305629272
1.55,2.279808655
1.558333333,2.26259491
1.566666667,2.246900024
1.575,2.234749146
1.583333333,2.226142273
1.591666667,2.219560547
1.6,2.210953674
1.608333333,2.205890808
1.616666667,2.201840515
1.625,2.198296509
1.633333333,2.195258789
1.641666667,2.193739929
1.65,2.191714783
1.658333333,2.192727356
1.666666667,2.189689636
1.675,2.18766449
1.683333333,2.187158203
1.691666667,2.184120483
1.7,2.18614563
1.708333333,2.18310791
1.716666667,2.18310791
1.725,2.180576477
1.733333333,2.180576477
1.741666667,2.177538757
1.75,2.175007324
1.758333333,2.175513611
1.766666667,2.170957031
1.775,2.170957031
1.783333333,2.169944458
1.791666667,2.169944458
