Run 1: Time (min),Run 1: Potential (mV)
1.8,2.164375305
1.808333333,2.165387878
1.816666667,2.164375305
1.825,2.162350159
1.833333333,2.161843872
1.841666667,2.159818726
1.85,2.159818726
1.858333333,2.154249573
1.866666667,2.152730713
1.875,2.15171814
1.883333333,2.150705566
1.891666667,2.14868042
1.9,2.1456427
1.908333333,2.143111267
1.916666667,2.143111267
1.925,2.142098694
1.933333333,2.139060974
1.941666667,2.136529541
1.95,2.139060974
1.958333333,2.135516968
1.966666667,2.135516968
1.975,2.136529541
1.983333333,2.132985535
1.991666667,2.128935242
2,2.129947815
2.008333333,2.128935242
2.016666667,2.130960388
2.025,2.126910095
2.033333333,2.129947815
2.041666667,2.124378662
2.05,2.125391235
2.058333333,2.126403809
2.066666667,2.127922668
2.075,2.126403809
2.083333333,2.122353516
2.091666667,2.118809509
2.1,2.122353516
2.108333333,2.11577179
2.116666667,2.117796936
2.125,2.11577179
2.133333333,2.114759216
2.141666667,2.114759216
2.15,2.113746643
2.158333333,2.112227783
2.166666667,2.112227783
2.175,2.112227783
2.183333333,2.11273407
2.191666667,2.113746643
2.2,2.112227783
2.208333333,2.112227783
2.216666667,2.113746643
2.225,2.11273407
2.233333333,2.112227783
2.241666667,2.112227783
2.25,2.110202637
2.258333333,2.109190063
2.266666667,2.10817749
2.275,2.10817749
2.283333333,2.11121521
2.291666667,2.107164917
2.3,2.107164917
2.308333333,2.105646057
2.316666667,2.10665863
2.325,2.103620911
2.333333333,2.104633484
2.341666667,2.105646057
2.35,2.102608337
2.358333333,2.103620911
2.366666667,2.10665863
2.375,2.107671204
2.383333333,2.104633484
2.391666667,2.105646057
2.4,2.104633484
2.408333333,2.10665863
2.416666667,2.107164917
2.425,2.107164917
2.433333333,2.10665863
2.441666667,2.107164917
2.45,2.10665863
2.458333333,2.107164917
2.466666667,2.104633484
2.475,2.105646057
2.483333333,2.10665863
2.491666667,2.103620911
2.5,2.105646057
2.508333333,2.102608337
2.516666667,2.101595764
2.525,2.103620911
2.533333333,2.102102051
2.541666667,2.102608337
2.55,2.101089478
2.558333333,2.102608337
2.566666667,2.10665863
2.575,2.105646057
2.583333333,2.107671204
2.591666667,2.105646057
2.6,2.105646057
2.608333333,2.105646057
2.616666667,2.104633484
2.625,2.107164917
2.633333333,2.10817749
2.641666667,2.10665863
2.65,2.10665863
2.658333333,2.10665863
2.666666667,2.103620911
2.675,2.104633484
2.683333333,2.105646057
2.691666667,2.104633484
2.7,2.103620911
2.708333333,2.104633484
2.716666667,2.104633484
2.725,2.105646057
2.733333333,2.104633484
2.741666667,2.102608337
2.75,2.103620911
2.758333333,2.103620911
2.766666667,2.10665863
2.775,2.102608337
2.783333333,2.102608337
2.791666667,2.103620911
2.8,2.101595764
2.808333333,2.105646057
2.816666667,2.103620911
2.825,2.105646057
2.833333333,2.10665863
2.841666667,2.104633484
2.85,2.107671204
2.858333333,2.105646057
2.866666667,2.105646057
2.875,2.105646057
2.883333333,2.10665863
2.891666667,2.107164917
2.9,2.10817749
2.908333333,2.105646057
2.916666667,2.105646057
2.925,2.10665863
2.933333333,2.107164917
2.941666667,2.107164917
2.95,2.107164917
2.958333333,2.10817749
2.966666667,2.10665863
2.975,2.107164917
2.983333333,2.109190063
2.991666667,2.10817749
3,2.107164917
3.008333333,2.110202637
3.016666667,2.10817749
3.025,2.107671204
3.033333333,2.102608337
3.041666667,2.104633484
3.05,2.103620911
3.058333333,2.104633484
3.066666667,2.107671204
3.075,2.103620911
3.083333333,2.107164917
3.091666667,2.105646057
3.1,2.102608337
3.108333333,2.10665863
3.116666667,2.105646057
3.125,2.104633484
3.133333333,2.10817749
3.141666667,2.105646057
3.15,2.103620911
3.158333333,2.102102051
3.166666667,2.102102051
3.175,2.102608337
3.183333333,2.101089478
3.191666667,2.102102051
3.2,2.101089478
3.208333333,2.102102051
3.216666667,2.102608337
3.225,2.102608337
3.233333333,2.103620911
3.241666667,2.104633484
3.25,2.103620911
3.258333333,2.103620911
3.266666667,2.104633484
3.275,2.104633484
3.283333333,2.101595764
3.291666667,2.102102051
3.3,2.101089478
3.308333333,2.101089478
3.316666667,2.102608337
3.325,2.103620911
3.333333333,2.102608337
3.341666667,2.104633484
3.35,2.103620911
3.358333333,2.104633484
3.366666667,2.102608337
3.375,2.102608337
3.383333333,2.102608337
3.391666667,2.103620911
3.4,2.103620911
3.408333333,2.101089478
3.416666667,2.104633484
3.425,2.102608337
3.433333333,2.100076904
3.441666667,2.101089478
3.45,2.100076904
3.458333333,2.102102051
3.466666667,2.101089478
3.475,2.103620911
3.483333333,2.102102051
3.491666667,2.102608337
3.5,2.102102051
3.508333333,2.102102051
3.516666667,2.102102051
3.525,2.103620911
3.533333333,2.101089478
3.541666667,2.103620911
3.55,2.102102051
3.558333333,2.102102051
3.566666667,2.101089478
3.575,2.103620911
3.583333333,2.103620911
3.591666667,2.102102051
3.6,2.103620911
3.608333333,2.101595764
3.616666667,2.103620911
3.625,2.103620911
3.633333333,2.102608337
3.641666667,2.102608337
3.65,2.101089478
3.658333333,2.102102051
3.666666667,2.104633484
3.675,2.104633484
3.683333333,2.103620911
3.691666667,2.105646057
3.7,2.101089478
3.708333333,2.102102051
3.716666667,2.103620911
3.725,2.102102051
3.733333333,2.101595764
3.741666667,2.100583191
3.75,2.103620911
3.758333333,2.101595764
3.766666667,2.102608337
3.775,2.103620911
3.783333333,2.102608337
3.791666667,2.101089478
3.8,2.101089478
3.808333333,2.103620911
3.816666667,2.101089478
3.825,2.105646057
3.833333333,2.105646057
3.841666667,2.107164917
3.85,2.105646057
3.858333333,2.104633484
3.866666667,2.102608337
3.875,2.107164917
3.883333333,2.104633484
3.891666667,2.104633484
3.9,2.105646057
3.908333333,2.102608337
3.916666667,2.104633484
3.925,2.104633484
3.933333333,2.104633484
3.941666667,2.103620911
3.95,2.106152344
3.958333333,2.102608337
3.966666667,2.104633484
3.975,2.103620911
3.983333333,2.103620911
3.991666667,2.103620911
4,2.101089478
4.008333333,2.102608337
4.016666667,2.103620911
4.025,2.103620911
4.033333333,2.102608337
4.041666667,2.104633484
4.05,2.10817749
4.058333333,2.104633484
4.066666667,2.102608337
4.075,2.103620911
4.083333333,2.102608337
4.091666667,2.103620911
4.1,2.10665863
4.108333333,2.102608337
4.116666667,2.103620911
4.125,2.101089478
4.133333333,2.102608337
4.141666667,2.103620911
4.15,2.101089478
4.158333333,2.102608337
4.166666667,2.103620911
4.175,2.105646057
4.183333333,2.104633484
4.191666667,2.10817749
4.2,2.10665863
4.208333333,2.101089478
4.216666667,2.102608337
4.225,2.104633484
4.233333333,2.103620911
4.241666667,2.103620911
4.25,2.102608337
4.258333333,2.104633484
4.266666667,2.103620911
4.275,2.107671204
4.283333333,2.107671204
4.291666667,2.105646057
4.3,2.105646057
4.308333333,2.10665863
4.316666667,2.102608337
4.325,2.101089478
4.333333333,2.102608337
4.341666667,2.102608337
4.35,2.10665863
4.358333333,2.103620911
4.366666667,2.102608337
4.375,2.105646057
4.383333333,2.10665863
4.391666667,2.103620911
4.4,2.105646057
4.408333333,2.104633484
4.416666667,2.101595764
4.425,2.103620911
4.433333333,2.101089478
4.441666667,2.104633484
4.45,2.10665863
4.458333333,2.104633484
4.466666667,2.10665863
4.475,2.10665863
4.483333333,2.105646057
4.491666667,2.10817749
4.5,2.105646057
4.508333333,2.105646057
4.516666667,2.104633484
4.525,2.103620911
4.533333333,2.102608337
4.541666667,2.103620911
4.55,2.104633484
4.558333333,2.103620911
4.566666667,2.104633484
4.575,2.10665863
4.583333333,2.104633484
4.591666667,2.10665863
4.6,2.107671204
4.608333333,2.109190063
4.616666667,2.10665863
4.625,2.11121521
4.633333333,2.10817749
4.641666667,2.10665863
4.65,2.109190063
4.658333333,2.104633484
4.666666667,2.109190063
4.675,2.110202637
4.683333333,2.10817749
4.691666667,2.10817749
4.7,2.113746643
4.708333333,2.109190063
4.716666667,2.11121521
4.725,2.11121521
4.733333333,2.110202637
4.741666667,2.11121521
4.75,2.112227783
4.758333333,2.11273407
4.766666667,2.114759216
4.775,2.11121521
4.783333333,2.109190063
4.791666667,2.110202637
4.8,2.109190063
4.808333333,2.10817749
4.816666667,2.109190063
4.825,2.112227783
4.833333333,2.110202637
4.841666667,2.11121521
4.85,2.109190063
4.858333333,2.11121521
4.866666667,2.11121521
4.875,2.11121521
4.883333333,2.110202637
4.891666667,2.11121521
4.9,2.109190063
4.908333333,2.110202637
4.916666667,2.109190063
4.925,2.10817749
4.933333333,2.109190063
4.941666667,2.112227783
4.95,2.110202637
4.958333333,2.11121521
4.966666667,2.109190063
4.975,2.11121521
4.983333333,2.11121521
4.991666667,2.11121521
5,2.110202637
