Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 12.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
GRSM-CC,47-009-0102,EST,83.7831,35.6042,564,Great Smoky Mountains National Park - Cades Cove
GRSM-CD,47-155-0102,EST,83.4981,35.5619,2021,Great Smoky Mountains National Park - Clingmans Dome
GRSM-CM,47-155-0101,EST,83.6086,35.6967,1243,Great Smoky Mountains National Park - Cove Mountain
GRSM-LR,47-009-0101,EST,83.9422,35.6331,793,Great Smoky Mountains National Park - Look Rock

Part II - Data
DATE_TIME,GRSM-CC_O3_PPB,GRSM-CD_O3_PPB,GRSM-CM_O3_PPB,GRSM-LR_O3_PPB,
9/26/2019 9:00:00 PM,4,43,44,43,
9/26/2019 10:00:00 PM,1,42,45,43,
9/26/2019 11:00:00 PM,0,42,45,40,
9/27/2019 12:00:00 AM,1,45,45,41,
9/27/2019 1:00:00 AM,1,40,44,44,
9/27/2019 2:00:00 AM,0,42,45,43,
9/27/2019 3:00:00 AM,0,42,45,44,
9/27/2019 4:00:00 AM,0,42,45,43,
9/27/2019 5:00:00 AM,0,43,44,43,
9/27/2019 6:00:00 AM,0,46,45,43,
9/27/2019 7:00:00 AM,1,41,45,39,
9/27/2019 8:00:00 AM,7,41,43,34,
9/27/2019 9:00:00 AM,16,39,40,31,
9/27/2019 10:00:00 AM,23,40,39,25,
9/27/2019 11:00:00 AM,35,41,39,31,
9/27/2019 12:00:00 PM,40,40,38,37,
9/27/2019 1:00:00 PM,40,39,38,39,
9/27/2019 2:00:00 PM,41,38,38,38,
9/27/2019 3:00:00 PM,37,36,38,38,
9/27/2019 4:00:00 PM,22,34,36,37,
9/27/2019 5:00:00 PM,11,35,38,38,
9/27/2019 6:00:00 PM,6,32,40,34,
9/27/2019 7:00:00 PM,11,35,37,36,
9/27/2019 8:00:00 PM,14,46,40,36,
9/27/2019 9:00:00 PM,26,49,48,35,
9/27/2019 10:00:00 PM,46,52,51,38,
9/27/2019 11:00:00 PM,44,53,54,43,
9/28/2019 12:00:00 AM,51,49,53,42,
9/28/2019 1:00:00 AM,48,43,50,47,
9/28/2019 2:00:00 AM,46,41,46,45,
9/28/2019 3:00:00 AM,41,40,47,43,
9/28/2019 4:00:00 AM,36,38,46,43,
9/28/2019 5:00:00 AM,42,39,47,44,
9/28/2019 6:00:00 AM,40,41,47,43,
9/28/2019 7:00:00 AM,34,41,46,39,
9/28/2019 8:00:00 AM,27,41,44,37,
9/28/2019 9:00:00 AM,30,38,43,30,
9/28/2019 10:00:00 AM,32,37,39,31,
9/28/2019 11:00:00 AM,39,39,40,40,
9/28/2019 12:00:00 PM,42,42,42,47,
9/28/2019 1:00:00 PM,45,40,44,50,
9/28/2019 2:00:00 PM,48,38,45,51,
9/28/2019 3:00:00 PM,47,34,47,52,
9/28/2019 4:00:00 PM,47,29,45,52,
9/28/2019 5:00:00 PM,38,40,44,53,
9/28/2019 6:00:00 PM,36,46,44,41,
9/28/2019 7:00:00 PM,22,48,45,46,
9/28/2019 8:00:00 PM,16,48,49,41,
9/28/2019 9:00:00 PM,13,47,48,40,
9/28/2019 10:00:00 PM,11,47,46,40,
9/28/2019 11:00:00 PM,12,48,46,43,
9/29/2019 12:00:00 AM,8,49,46,45,
9/29/2019 1:00:00 AM,6,47,48,45,
9/29/2019 2:00:00 AM,3,46,48,45,
9/29/2019 3:00:00 AM,2,44,48,47,
9/29/2019 4:00:00 AM,1,45,47,46,
9/29/2019 5:00:00 AM,0,42,47,45,
9/29/2019 6:00:00 AM,0,43,47,44,
9/29/2019 7:00:00 AM,0,42,45,42,
9/29/2019 8:00:00 AM,10,41,46,41,
9/29/2019 9:00:00 AM,25,41,42,38,
9/29/2019 10:00:00 AM,39,46,38,30,
9/29/2019 11:00:00 AM,41,44,43,35,
9/29/2019 12:00:00 PM,41,37,43,38,
9/29/2019 1:00:00 PM,42,38,43,39,
9/29/2019 2:00:00 PM,43,40,45,39,
9/29/2019 3:00:00 PM,42,41,46,41,
9/29/2019 4:00:00 PM,40,40,47,41,
9/29/2019 5:00:00 PM,24,40,45,39,
9/29/2019 6:00:00 PM,19,41,46,40,
9/29/2019 7:00:00 PM,21,42,46,37,
9/29/2019 8:00:00 PM,18,42,48,37,
9/29/2019 9:00:00 PM,18,44,50,39,
9/29/2019 10:00:00 PM,13,45,51,39,
9/29/2019 11:00:00 PM,9,45,49,37,
9/30/2019 12:00:00 AM,8,44,41,38,
9/30/2019 1:00:00 AM,6,45,39,37,
9/30/2019 2:00:00 AM,3,43,40,37,
9/30/2019 3:00:00 AM,2,39,40,36,
9/30/2019 4:00:00 AM,0,42,40,35,
9/30/2019 5:00:00 AM,0,44,39,37,
9/30/2019 6:00:00 AM,0,39,39,38,
9/30/2019 7:00:00 AM,0,38,48,34,
9/30/2019 8:00:00 AM,3,37,49,34,
9/30/2019 9:00:00 AM,18,38,54,33,
9/30/2019 10:00:00 AM,40,38,49,39,
9/30/2019 11:00:00 AM,47,38,46,44,
9/30/2019 12:00:00 PM,42,41,42,44,
9/30/2019 1:00:00 PM,43,40,41,46,
9/30/2019 2:00:00 PM,44,40,43,48,
9/30/2019 3:00:00 PM,46,39,49,49,
9/30/2019 4:00:00 PM,48,39,50,54,
9/30/2019 5:00:00 PM,41,41,52,56,
9/30/2019 6:00:00 PM,25,44,58,60,
9/30/2019 7:00:00 PM,26,52,60,57,
9/30/2019 8:00:00 PM,25,53,61,49,
9/30/2019 9:00:00 PM,22,54,60,52,
9/30/2019 10:00:00 PM,18,52,53,50,
9/30/2019 11:00:00 PM,13,53,52,48,
