blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),blank: Wavelength (nm),blank: Fluorescence 405 nm (rel),low std: Wavelength (nm),low std: Fluorescence 405 nm (rel),med: Wavelength (nm),med: Fluorescence 405 nm (rel),hi: Wavelength (nm),hi: Fluorescence 405 nm (rel),QC: Wavelength (nm),QC: Fluorescence 405 nm (rel),QC2: Wavelength (nm),QC2: Fluorescence 405 nm (rel),QC3: Wavelength (nm),QC3: Fluorescence 405 nm (rel),tonic1: Wavelength (nm),tonic1: Fluorescence 405 nm (rel),tonic2: Wavelength (nm),tonic2: Fluorescence 405 nm (rel),tonic3: Wavelength (nm),tonic3: Fluorescence 405 nm (rel)
400.7,0.064923515,400.7,0.070834294,400.7,0.073447031,400.7,0.08407333,400.7,0.112327046,400.7,0.152259133,400.7,0.060367804,400.7,0.057750741,400.7,0.057770944,400.7,0.037754415,400.7,0.03964601,400.7,0.034114394
401.5,0.065747606,401.5,0.066128282,401.5,0.068093879,401.5,0.085762875,401.5,0.115183183,401.5,0.161134765,401.5,0.061896178,401.5,0.0591035,401.5,0.059519863,401.5,0.038895922,401.5,0.040888844,401.5,0.035465143
402.4,0.066038179,402.4,0.071663369,402.4,0.067319475,402.4,0.087684434,402.4,0.118171492,402.4,0.170569065,402.4,0.064041468,402.4,0.06140162,402.4,0.062113632,402.4,0.04027584,402.4,0.042746453,402.4,0.036135485
403.3,0.065827641,403.3,0.074341594,403.3,0.072351847,403.3,0.08879133,403.3,0.123199646,403.3,0.180358361,403.3,0.066387435,403.3,0.064192563,403.3,0.064905513,403.3,0.041766888,403.3,0.044960204,403.3,0.038325908
404.1,0.066374014,404.1,0.068648861,404.1,0.071839769,404.1,0.091008656,404.1,0.128253648,404.1,0.189039859,404.1,0.069349358,404.1,0.067538125,404.1,0.067127036,404.1,0.043739046,404.1,0.046771999,404.1,0.04021605
405,0.067309422,405,0.071764757,405,0.067610747,405,0.093558627,405,0.13365325,405,0.198172313,405,0.07134764,405,0.069203999,405,0.068901395,405,0.046106897,405,0.048584286,405,0.042456229
405.9,0.068485815,405.9,0.074760642,405.9,0.075520505,405.9,0.096196193,405.9,0.13791262,405.9,0.207868815,405.9,0.073187916,405.9,0.070579803,405.9,0.070061129,405.9,0.047365159,405.9,0.050123302,405.9,0.043958651
406.7,0.069220523,406.7,0.073826379,406.7,0.074267969,406.7,0.09805811,406.7,0.141639929,406.7,0.219817552,406.7,0.075255969,406.7,0.071854709,406.7,0.07218553,406.7,0.04957588,406.7,0.051896132,406.7,0.045957062
407.6,0.069254576,407.6,0.075555848,407.6,0.074961688,407.6,0.101005167,407.6,0.145779671,407.6,0.230781022,407.6,0.077560915,407.6,0.074879931,407.6,0.074524695,407.6,0.051434016,407.6,0.054459385,407.6,0.047789764
408.4,0.069467122,408.4,0.073922988,408.4,0.075696482,408.4,0.103334479,408.4,0.149360157,408.4,0.242483464,408.4,0.079493006,408.4,0.077065657,408.4,0.077479733,408.4,0.054809333,408.4,0.057214363,408.4,0.050321973
409.3,0.069290959,409.3,0.074811964,409.3,0.076778871,409.3,0.105814543,409.3,0.153773785,409.3,0.25368732,409.3,0.081175243,409.3,0.078819784,409.3,0.07979484,409.3,0.057304146,409.3,0.060025873,409.3,0.052855525
410.2,0.06901578,410.2,0.069874816,410.2,0.073509882,410.2,0.107492374,410.2,0.157567535,410.2,0.265985579,410.2,0.083851523,410.2,0.080795693,410.2,0.082144166,410.2,0.059955827,410.2,0.061193831,410.2,0.055745294
411,0.067725343,411,0.073787771,411,0.075842197,411,0.109936709,411,0.161973995,411,0.276444377,411,0.087368609,411,0.082867614,411,0.084051495,411,0.061843869,411,0.063353009,411,0.058136751
411.9,0.067431449,411.9,0.071948073,411.9,0.07528723,411.9,0.111189208,411.9,0.165417845,411.9,0.288019912,411.9,0.089859795,411.9,0.085112407,411.9,0.086792258,411.9,0.064445363,411.9,0.065145133,411.9,0.060922233
412.8,0.067117939,412.8,0.074893696,412.8,0.075895617,412.8,0.113186382,412.8,0.168644722,412.8,0.299110128,412.8,0.091006913,412.8,0.086159175,412.8,0.087414643,412.8,0.066219358,412.8,0.067808792,412.8,0.062737535
413.6,0.067414351,413.6,0.071345482,413.6,0.071476634,413.6,0.113498472,413.6,0.172207353,413.6,0.312041946,413.6,0.091268718,413.6,0.087638818,413.6,0.088935376,413.6,0.068813044,413.6,0.069299308,413.6,0.065107341
414.5,0.066279156,414.5,0.069301802,414.5,0.070005504,414.5,0.114769454,414.5,0.174893631,414.5,0.32355091,414.5,0.092540518,414.5,0.088862047,414.5,0.089441931,414.5,0.070369956,414.5,0.071162126,414.5,0.066233551
415.4,0.064289301,415.4,0.070261331,415.4,0.073966004,415.4,0.114583676,415.4,0.177726758,415.4,0.33328433,415.4,0.09392725,415.4,0.09040711,415.4,0.091352289,415.4,0.073184052,415.4,0.073398992,415.4,0.068344935
416.2,0.06286801,416.2,0.065161132,416.2,0.067969349,416.2,0.114888888,416.2,0.180062391,416.2,0.342686874,416.2,0.094986654,416.2,0.092299963,416.2,0.092549113,416.2,0.075705549,416.2,0.075472959,416.2,0.070428034
417.1,0.060525692,417.1,0.070050714,417.1,0.063628504,417.1,0.113203165,417.1,0.182859859,417.1,0.349193163,417.1,0.094794409,417.1,0.092619005,417.1,0.093316172,417.1,0.078457455,417.1,0.07849838,417.1,0.071794142
