"blank: Wavelength (nm)","blank: Fluorescence 405 nm (rel)","low std: Wavelength (nm)","low std: Fluorescence 405 nm (rel)","med: Wavelength (nm)","med: Fluorescence 405 nm (rel)","hi: Wavelength (nm)","hi: Fluorescence 405 nm (rel)","QC: Wavelength (nm)","QC: Fluorescence 405 nm (rel)","QC2: Wavelength (nm)","QC2: Fluorescence 405 nm (rel)","QC3: Wavelength (nm)","QC3: Fluorescence 405 nm (rel)","tonic1: Wavelength (nm)","tonic1: Fluorescence 405 nm (rel)","tonic2: Wavelength (nm)","tonic2: Fluorescence 405 nm (rel)","tonic3: Wavelength (nm)","tonic3: Fluorescence 405 nm (rel)"
398.9,0.062636344323,398.9,0.0801844801105,398.9,0.105361145641,398.9,0.137562913147,398.9,0.0556593609819,398.9,0.0534414896865,398.9,0.0535674460006,398.9,0.0346496117797,398.9,0.0368443197002,398.9,0.0313333157641
399.8,0.0639887726831,399.8,0.0823549193199,399.8,0.109018354299,399.8,0.144936211546,399.8,0.0581129767783,399.8,0.05563381935,399.8,0.0560614758644,399.8,0.0359019873524,399.8,0.0384051900765,399.8,0.0332089142294
400.7,0.0649235147401,400.7,0.0840733302399,400.7,0.112327045989,400.7,0.152259132751,400.7,0.0603678039021,400.7,0.0577507408715,400.7,0.0577709437742,400.7,0.0377544150011,400.7,0.0396460101607,400.7,0.0341143941703
401.5,0.0657476061614,401.5,0.0857628745714,401.5,0.115183182658,401.5,0.161134764947,401.5,0.0618961783981,401.5,0.0591034997314,401.5,0.0595198632096,401.5,0.0388959222921,401.5,0.0408888437632,401.5,0.0354651432014
402.4,0.0660381793371,402.4,0.0876844339405,402.4,0.118171491942,402.4,0.170569064841,402.4,0.0640414682692,402.4,0.0614016203271,402.4,0.062113631926,402.4,0.0402758399929,402.4,0.042746452897,402.4,0.0361354851109
403.3,0.0658276412618,403.3,0.0887913303041,403.3,0.12319964635,403.3,0.180358361392,403.3,0.0663874347015,403.3,0.0641925633453,403.3,0.0649055127714,403.3,0.0417668882793,403.3,0.0449602037158,403.3,0.0383259079795
404.1,0.0663740138814,404.1,0.0910086560993,404.1,0.128253648394,404.1,0.189039859245,404.1,0.0693493580242,404.1,0.0675381249322,404.1,0.0671270357782,404.1,0.0437390461341,404.1,0.0467719987484,404.1,0.0402160497027
405,0.0673094222011,405,0.0935586267067,405,0.133653250133,405,0.19817231267,405,0.0713476402254,405,0.0692039990781,405,0.0689013951755,405,0.0461068966876,405,0.0485842857067,405,0.0424562286167
405.9,0.0684858154674,405.9,0.0961961928204,405.9,0.137912619743,405.9,0.207868814971,405.9,0.0731879163792,405.9,0.07057980316,405.9,0.0700611286241,405.9,0.0473651591644,405.9,0.050123302208,405.9,0.0439586510805
406.7,0.0692205231598,406.7,0.0980581095885,406.7,0.141639929106,406.7,0.219817551556,406.7,0.0752559694637,406.7,0.0718547093608,406.7,0.0721855302144,406.7,0.0495758804037,406.7,0.0518961324015,406.7,0.0459570624981
